transaction_id,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T1,2026-02-02,C80,George Dunn,FR,P79,Clothing,3,479.9,PayPal,Returned
T2,2026-07-02,C281,Laura Munoz,FR,P147,Home,2,431.13,PayPal,Cancelled
T3,2026-04-14,C124,Angel Rodriguez,IN,P21,Electronics,2,310.76,UPI,Completed
T4,2026-02-01,C193,Tabitha Smith MD,DE,P65,Books,3,61.64,Debit Card,Cancelled
T5,2026-03-29,C102,Dylan Espinoza,DE,P159,Electronics,5,368.76,UPI,Completed
T6,2025-09-10,C122,Ariel Lopez,FR,P109,Books,3,294.55,PayPal,Returned
T7,2025-11-21,C48,Lauren Davidson,FR,P34,Electronics,1,190.4,PayPal,Returned
T8,2026-06-05,C196,Katherine Thomas,UK,P154,Sports,2,24.95,UPI,Completed
T9,2026-06-03,C133,Tami Moore,DE,P181,Electronics,3,321.2,UPI,Completed
T10,2026-02-13,C68,Russell Burke,US,P162,Clothing,4,55.67,Debit Card,Returned
T11,2026-04-12,C187,Richard Carter,AU,P141,Books,4,486.49,Debit Card,Returned
T12,2025-11-18,,Sara Dougherty,DE,P142,Home,5,358.16,Credit Card,Returned
T13,2026-02-13,C292,Crystal Cook,CA,P33,Sports,5,65.71,UPI,Completed
T14,2026-03-26,C24,Anthony Fritz,AU,P36,Sports,5,238.31,UPI,Completed
T15,2025-10-11,C91,Aaron Mendoza,AU,P11,Home,1,58.03,PayPal,Returned
T16,2026-09-13 20:56:05.517924,C89,Mackenzie Newton,AU,P1,Home,5,416.53,PayPal,Completed
T17,2026-05-24,C27,Steven Ward,US,P29,Home,2,67.15,PayPal,Cancelled
T18,2026-05-13,C22,Amanda Strickland,IN,P61,Books,4,495.01,Debit Card,Cancelled
T19,2025-10-14,C110,Jon Williamson,CA,P30,Electronics,2,41.12,PayPal,Returned
T20,2026-07-27,C145,Adam Stephens,UK,P186,Electronics,5,338.36,UPI,Returned
T21,2025-12-24,C36,Micheal Owen,DE,P179,Electronics,2,23.22,Credit Card,Completed
T22,2025-11-26,C203,Deborah Herman,DE,P40,Clothing,3,95.2,Credit Card,Cancelled
T23,2025-10-28,C152,Angel Gray,FR,P161,Books,4,270.59,UPI,Completed
T24,2025-11-01,C79,John Anderson,UK,P24,Electronics,1,245.41,PayPal,Completed
T25,2026-06-19,C66,Sarah Poole,AU,P94,Sports,3,210.12,PayPal,Returned
T26,2026-03-15,C59,Devon Cook,IN,P79,Clothing,1,324.74,Debit Card,Cancelled
T27,2025-10-22,C215,Debra Bryant,CA,P151,Home,1,163.38,Debit Card,Cancelled
T28,2026-06-23,C13,Katie Nelson,UK,P51,Electronics,3,299.88,Debit Card,Cancelled
T29,2026-07-23,C280,Theodore Davis,IN,P21,Sports,4,56.03,PayPal,Cancelled
T30,2026-01-29,C58,Heather Mckinney,AU,P147,Sports,2,460.39,Credit Card,Cancelled
T31,2026-01-13,C53,Rodney Dennis,US,P56,Home,1,-40.6843501947074,Credit Card,Completed
T32,2025-09-08,C211,Jennifer Skinner,CA,P141,Books,4,275.99,UPI,Returned
T1,2026-03-28,C63,Christopher Hammond,UK,P31,Electronics,3,497.81,Credit Card,Returned
T34,2025-09-03,C27,Candace Moreno,DE,P46,Books,4,121.04,Credit Card,Completed
T1,2026-02-11,C226,Carmen Collins,IN,P148,Electronics,3,365.71,Credit Card,Completed
T36,2026-04-11,C222,David Reed,IN,P34,Sports,2,209.04,Debit Card,Completed
T37,2026-06-09,C41,Amy Baker,UK,P121,Clothing,4,123.09,Credit Card,Completed
T38,2026-01-28,C61,Natalie Walker,IN,P68,Sports,-1,419.5,UPI,Cancelled
T39,2026-01-30,C55,Ashley Kim,IN,P91,Home,5,198.35,Credit Card,Cancelled
T40,2025-12-04,C257,Justin Harper,AU,P112,Books,2,353.5,Debit Card,Completed
T41,2026-08-12,C226,Bonnie Sanchez,IN,P23,Electronics,1,149.18,Credit Card,Returned
T42,2026-04-06,C211,Anthony Norris,CA,P41,Electronics,4,88.07,Credit Card,Returned
T43,2025-12-10,C71,David Moss,FR,P109,Sports,1,225.59,UPI,Completed
T44,2026-06-01,C116,Rodney Sanchez,US,P192,Electronics,5,94.98,Debit Card,Completed
