transaction_id,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T1,2026-01-18,C244,Ronnie Golden,FR,P135,Home,5,269.33,PayPal,Cancelled
T2,2025-12-04,C278,Kaitlin Collins,US,P179,Electronics,4,484.54,Debit Card,Completed
T3,2026-05-22,C283,Gwendolyn Wilson,FR,P145,Electronics,4,97.76,Credit Card,Returned
T4,2026-08-02,C1,Nicholas Richardson,IN,P46,Sports,3,255.03,PayPal,Returned
T5,2025-09-24,C18,Brian Martin,DE,P94,Books,5,47.42,Debit Card,Completed
T6,2026-03-12,C24,Ryan Taylor,DE,P52,Home,5,44.97,Credit Card,Returned
T7,2025-12-14,C86,Kim Tran,US,P128,Electronics,4,434.16,PayPal,Returned
T8,2026-04-26,C49,Arthur Clark,XYZ,P42,Home,5,170.89,Debit Card,Returned
T9,2025-12-17,C141,Destiny Becker,UK,P104,Home,2,418.6,UPI,Cancelled
T10,2025-10-27,C136,Mark Henry,DE,P113,Books,4,405.74,Debit Card,Returned
T11,2025-11-16,C93,Kristina Rogers,AU,P23,Home,1,367.72,Credit Card,Completed
T12,2026-05-23,C157,Jacob Blanchard,IN,P67,Books,1,364.96,Credit Card,Cancelled
T13,2026-04-23,C69,Paul Chandler,IN,P27,Books,3,76.09,UPI,Returned
T14,2025-12-20,C169,Lisa Wilkinson,UK,P64,Electronics,5,123.32,PayPal,Returned
T15,2026-05-06,C277,Daniel Black,UK,P173,Sports,5,29.01,UPI,Completed
T16,2026-04-14,C139,Michael Cruz,FR,P123,Sports,1,40.14,UPI,Returned
T17,2025-08-27,C184,Andrea Turner,IN,P186,Books,2,255.47,Credit Card,Completed
T18,2025-08-30,C187,Erica Dorsey,UK,P147,Books,4,428.57,PayPal,Cancelled
T19,2026-07-15,C62,Julie Hernandez,AU,P82,Electronics,1,76.49,Credit Card,Cancelled
T20,2025-12-28,C247,Christopher Grant,CA,P57,Clothing,5,44.66,UPI,Completed
T21,2025-12-30,C186,Jennifer May,IN,P128,Home,4,483.15,Credit Card,Cancelled
T22,2025-10-14,C57,John Mendoza,CA,P96,Electronics,5,111.35,PayPal,Cancelled
T23,2026-02-05,C106,Danny Erickson,AU,P68,Clothing,2,218.46,PayPal,Returned
T24,2025-11-18,C90,Joseph Davis,FR,P9,Books,3,56.53,Debit Card,Cancelled
T25,2026-06-19,C231,Joe Bush,IN,P115,Home,2,228.46,PayPal,Completed
T26,2026-02-15,C2,Brittany Wood,FR,P117,Electronics,2,59.96,UPI,Completed
T27,2026-01-27,C251,Lori Parsons,FR,P81,Electronics,5,251.63,UPI,Returned
T28,2025-11-29,C297,Sherri Bishop,CA,P118,Books,2,474.84,PayPal,Cancelled
T29,2025-10-03,C295,Tonya White,UK,P24,Home,4,65.29,Debit Card,Completed
T30,2025-10-26,C48,Richard Garza,DE,P42,Electronics,4,373.19,Debit Card,Returned
T31,2025-08-28,C292,Michael Oliver,AU,P60,Clothing,2,52.15,PayPal,Completed
T32,2026-08-03,C128,Corey Garcia,US,P135,Home,2,95.12,Credit Card,Completed
T33,2026-02-06,C298,Edwin Lewis,DE,P110,Electronics,3,48.59,UPI,Returned
T34,2025-11-10,C270,Joshua Francis,FR,P107,Books,5,403.49,PayPal,Cancelled
T35,2026-02-21,C95,Jeremiah Williams,AU,P177,Home,2,117.39,PayPal,Completed
T36,2026-03-16,C82,Lisa Castillo,DE,P178,Sports,5,468.33,Credit Card,Cancelled
T37,2026-06-17,C138,Sean Woods,AU,P191,Home,1,142.96,Credit Card,Cancelled
T38,2026-05-30,C98,Stephanie Hodge,DE,P173,Electronics,1,453.12,PayPal,Returned
T39,2026-06-16,C23,Paul Cooper,IN,P94,Home,2,198.17,Credit Card,Returned
T40,2025-10-13,C119,Joshua Cook,IN,P21,Books,1,150.55,Credit Card,Cancelled
T41,2026-01-03,C214,Anthony Green,AU,P162,Books,4,50.02,PayPal,Returned
T42,2025-09-09,C58,Matthew Kelley,DE,P24,Clothing,5,10.88,UPI,Returned
T43,2026-02-02,C113,Paul Burnett,US,P136,Electronics,4,118.8,Debit Card,Cancelled
T44,2025-10-13,C203,Jake Gregory,AU,P144,Books,5,456.68,PayPal,Completed
T45,2025-12-06,,Christopher Salazar,US,P167,Electronics,5,244.6,PayPal,Completed
T46,2026-01-12,C51,Christopher Williams,UK,P198,Home,5,194.95,UPI,Cancelled
T47,2026-05-20,C37,Manuel Wang,IN,P2,Electronics,2,441.85,UPI,Completed
T48,2026-04-18,C24,Louis Martinez,IN,P56,Books,-1,456.33,Debit Card,Returned
T49,2026-04-13,C290,Bonnie Cline,CA,P12,Electronics,1,360.94,UPI,Cancelled
T50,2026-06-18,C77,Melissa Mathews,DE,P49,Sports,4,51.04,Credit Card,Completed
T51,2025-10-09,C97,Daniel Martin,US,P83,Books,-5,30.3,UPI,Cancelled
T52,2025-10-22,C167,Courtney Martin,US,P168,Clothing,4,372.48,Credit Card,Completed
T53,2026-05-26,C120,Christopher Brooks,UK,P159,Home,3,298.57,Debit Card,Completed
T54,2026-07-03,,Ashley Swanson,DE,P119,Books,1,35.79,Debit Card,Cancelled
T55,2026-05-14,C218,Vincent Freeman,IN,P196,Books,3,22.19,Debit Card,Completed
T56,2026-05-12,C167,Kathy Ramirez,AU,P111,Sports,2,313.98,Credit Card,Returned
T57,2026-03-01,C275,Autumn Snyder,DE,P173,Sports,2,50.98,Credit Card,Completed
T58,2026-01-31,C243,Brianna Allen,IN,P93,Clothing,1,321.31,PayPal,Cancelled
T59,2026-07-01,C276,Jonathan Sanders,AU,P55,Electronics,5,259.69,PayPal,Cancelled
